image,width,height,egg_id,x,y,confidence
Box1_LongI-1_IST_B6,3072,2048,1,1658,1870,1.0
Box1_LongI-1_IST_B6,3072,2048,2,1767,1907,1.0
Box1_LongI-1_IST_B6,3072,2048,3,1549,1770,1.0
Box1_LongI-1_IST_B6,3072,2048,4,1654,1802,1.0
Box1_LongI-1_IST_B6,3072,2048,5,1759,1832,1.0
Box1_LongI-1_IST_B6,3072,2048,6,1845,1859,1.0
Box1_LongI-1_IST_B6,3072,2048,7,1934,1875,1.0
Box1_LongI-1_IST_B6,3072,2048,8,2053,1889,1.0
Box1_LongI-1_IST_B6,3072,2048,9,2083,1792,1.0
Box1_LongI-1_IST_B6,3072,2048,10,1996,1774,1.0
Box1_LongI-1_IST_B6,3072,2048,11,1900,1752,1.0
Box1_LongI-1_IST_B6,3072,2048,12,1811,1727,1.0
Box1_LongI-1_IST_B6,3072,2048,13,1706,1720,1.0
Box1_LongI-1_IST_B6,3072,2048,14,1610,1683,1.0
Box1_LongI-1_IST_B6,3072,2048,15,1516,1679,1.0
Box1_LongI-1_IST_B6,3072,2048,16,1491,1583,1.0
Box1_LongI-1_IST_B6,3072,2048,17,1578,1592,1.0
Box1_LongI-1_IST_B6,3072,2048,18,1674,1622,1.0
Box1_LongI-1_IST_B6,3072,2048,19,1781,1630,1.0
Box1_LongI-1_IST_B6,3072,2048,20,1856,1649,1.0
Box1_LongI-1_IST_B6,3072,2048,21,1978,1674,1.0
Box1_LongI-1_IST_B6,3072,2048,22,2058,1688,1.0
Box1_LongI-1_IST_B6,3072,2048,23,2158,1687,1.0
Box1_LongI-1_IST_B6,3072,2048,24,2201,1601,1.0
Box1_LongI-1_IST_B6,3072,2048,25,2115,1619,1.0
Box1_LongI-1_IST_B6,3072,2048,26,2028,1590,1.0
Box1_LongI-1_IST_B6,3072,2048,27,1889,1533,1.0
Box1_LongI-1_IST_B6,3072,2048,28,1829,1541,1.0
Box1_LongI-1_IST_B6,3072,2048,29,1749,1539,1.0
Box1_LongI-1_IST_B6,3072,2048,30,1651,1510,1.0
Box1_LongI-1_IST_B6,3072,2048,31,1567,1510,1.0
Box1_LongI-1_IST_B6,3072,2048,32,1418,1398,1.0
Box1_LongI-1_IST_B6,3072,2048,33,1466,1484,1.0
Box1_LongI-1_IST_B6,3072,2048,34,1514,1432,1.0
Box1_LongI-1_IST_B6,3072,2048,35,1614,1420,1.0
Box1_LongI-1_IST_B6,3072,2048,36,1715,1450,1.0
Box1_LongI-1_IST_B6,3072,2048,37,1792,1453,1.0
Box1_LongI-1_IST_B6,3072,2048,38,1907,1478,1.0
Box1_LongI-1_IST_B6,3072,2048,39,2005,1505,1.0
Box1_LongI-1_IST_B6,3072,2048,40,2087,1519,1.0
Box1_LongI-1_IST_B6,3072,2048,41,2197,1523,1.0
Box1_LongI-1_IST_B6,3072,2048,42,2126,1405,1.0
Box1_LongI-1_IST_B6,3072,2048,43,2051,1427,1.0
Box1_LongI-1_IST_B6,3072,2048,44,1953,1407,1.0
Box1_LongI-1_IST_B6,3072,2048,45,1863,1402,1.0
Box1_LongI-1_IST_B6,3072,2048,46,1772,1384,1.0
Box1_LongI-1_IST_B6,3072,2048,47,1674,1359,1.0
Box1_LongI-1_IST_B6,3072,2048,48,1574,1364,1.0
Box1_LongI-1_IST_B6,3072,2048,49,1477,1332,1.0
Box1_LongI-1_IST_B6,3072,2048,50,1377,1329,1.0
Box1_LongI-1_IST_B6,3072,2048,51,1425,1254,1.0
Box1_LongI-1_IST_B6,3072,2048,52,1517,1256,1.0
Box1_LongI-1_IST_B6,3072,2048,53,1619,1281,1.0
Box1_LongI-1_IST_B6,3072,2048,54,1715,1284,1.0
Box1_LongI-1_IST_B6,3072,2048,55,1800,1302,1.0
Box1_LongI-1_IST_B6,3072,2048,56,1893,1316,1.0
Box1_LongI-1_IST_B6,3072,2048,57,1982,1320,1.0
Box1_LongI-1_IST_B6,3072,2048,58,2071,1343,1.0
Box1_LongI-1_IST_B6,3072,2048,59,2130,1261,1.0
Box1_LongI-1_IST_B6,3072,2048,60,2028,1256,1.0
Box1_LongI-1_IST_B6,3072,2048,61,1953,1235,1.0
Box1_LongI-1_IST_B6,3072,2048,62,1845,1211,1.0
Box1_LongI-1_IST_B6,3072,2048,63,1740,1199,1.0
Box1_LongI-1_IST_B6,3072,2048,64,1660,1185,1.0
Box1_LongI-1_IST_B6,3072,2048,65,1573,1179,1.0
Box1_LongI-1_IST_B6,3072,2048,66,1473,1170,1.0
Box1_LongI-1_IST_B6,3072,2048,67,1379,1170,1.0
Box1_LongI-1_IST_B6,3072,2048,68,1307,1106,1.0
Box1_LongI-1_IST_B6,3072,2048,69,1402,1083,1.0
Box1_LongI-1_IST_B6,3072,2048,70,1500,1078,1.0
