image,width,height,egg_id,x,y,confidence
Box1_LongI-1_IST_C4,3072,2048,1,1518,1858,1.0
Box1_LongI-1_IST_C4,3072,2048,2,1600,1811,1.0
Box1_LongI-1_IST_C4,3072,2048,3,1395,1876,1.0
Box1_LongI-1_IST_C4,3072,2048,4,1459,1819,1.0
Box1_LongI-1_IST_C4,3072,2048,5,1528,1790,1.0
Box1_LongI-1_IST_C4,3072,2048,6,1581,1735,1.0
Box1_LongI-1_IST_C4,3072,2048,7,1657,1682,1.0
Box1_LongI-1_IST_C4,3072,2048,8,1330,1813,1.0
Box1_LongI-1_IST_C4,3072,2048,9,1401,1780,1.0
Box1_LongI-1_IST_C4,3072,2048,10,1465,1733,1.0
Box1_LongI-1_IST_C4,3072,2048,11,1508,1694,1.0
Box1_LongI-1_IST_C4,3072,2048,12,1573,1639,1.0
Box1_LongI-1_IST_C4,3072,2048,13,1594,1569,1.0
Box1_LongI-1_IST_C4,3072,2048,14,1524,1604,1.0
Box1_LongI-1_IST_C4,3072,2048,15,1457,1645,1.0
Box1_LongI-1_IST_C4,3072,2048,16,1395,1700,1.0
Box1_LongI-1_IST_C4,3072,2048,17,1328,1727,1.0
Box1_LongI-1_IST_C4,3072,2048,18,1246,1741,1.0
Box1_LongI-1_IST_C4,3072,2048,19,1268,1665,1.0
Box1_LongI-1_IST_C4,3072,2048,20,1344,1643,1.0
Box1_LongI-1_IST_C4,3072,2048,21,1401,1596,1.0
Box1_LongI-1_IST_C4,3072,2048,22,1473,1561,1.0
Box1_LongI-1_IST_C4,3072,2048,23,1534,1530,1.0
Box1_LongI-1_IST_C4,3072,2048,24,1541,1440,1.0
Box1_LongI-1_IST_C4,3072,2048,25,1489,1485,1.0
Box1_LongI-1_IST_C4,3072,2048,26,1414,1524,1.0
Box1_LongI-1_IST_C4,3072,2048,27,1354,1553,1.0
Box1_LongI-1_IST_C4,3072,2048,28,1270,1583,1.0
Box1_LongI-1_IST_C4,3072,2048,29,1274,1481,1.0
Box1_LongI-1_IST_C4,3072,2048,30,1379,1465,1.0
Box1_LongI-1_IST_C4,3072,2048,31,1418,1426,1.0
Box1_LongI-1_IST_C4,3072,2048,32,1493,1401,1.0
Box1_LongI-1_IST_C4,3072,2048,33,1549,1358,1.0
Box1_LongI-1_IST_C4,3072,2048,34,1516,1289,1.0
Box1_LongI-1_IST_C4,3072,2048,35,1446,1350,1.0
Box1_LongI-1_IST_C4,3072,2048,36,1348,1367,1.0
Box1_LongI-1_IST_C4,3072,2048,37,1291,1416,1.0
Box1_LongI-1_IST_C4,3072,2048,38,1227,1436,1.0
Box1_LongI-1_IST_C4,3072,2048,39,1231,1365,1.0
Box1_LongI-1_IST_C4,3072,2048,40,1322,1324,1.0
Box1_LongI-1_IST_C4,3072,2048,41,1410,1293,1.0
Box1_LongI-1_IST_C4,3072,2048,42,1467,1260,1.0
Box1_LongI-1_IST_C4,3072,2048,43,1516,1223,1.0
Box1_LongI-1_IST_C4,3072,2048,44,1592,1195,1.0
Box1_LongI-1_IST_C4,3072,2048,45,1541,1137,1.0
Box1_LongI-1_IST_C4,3072,2048,46,1477,1174,1.0
Box1_LongI-1_IST_C4,3072,2048,47,1418,1213,1.0
Box1_LongI-1_IST_C4,3072,2048,48,1352,1238,1.0
