image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Lavar_A2,3072,2048,1,736,1197,1.0
Box1_LongI-1_Lavar_A2,3072,2048,2,880,1103,1.0
Box1_LongI-1_Lavar_A2,3072,2048,3,971,1040,1.0
Box1_LongI-1_Lavar_A2,3072,2048,4,1068,969,1.0
Box1_LongI-1_Lavar_A2,3072,2048,5,1139,873,1.0
Box1_LongI-1_Lavar_A2,3072,2048,6,1240,788,1.0
Box1_LongI-1_Lavar_A2,3072,2048,7,1306,746,1.0
Box1_LongI-1_Lavar_A2,3072,2048,8,1416,677,1.0
Box1_LongI-1_Lavar_A2,3072,2048,9,722,1369,1.0
Box1_LongI-1_Lavar_A2,3072,2048,10,800,1294,1.0
Box1_LongI-1_Lavar_A2,3072,2048,11,880,1219,1.0
Box1_LongI-1_Lavar_A2,3072,2048,12,986,1153,1.0
Box1_LongI-1_Lavar_A2,3072,2048,13,1094,1077,1.0
Box1_LongI-1_Lavar_A2,3072,2048,14,1186,1026,1.0
Box1_LongI-1_Lavar_A2,3072,2048,15,1235,908,1.0
Box1_LongI-1_Lavar_A2,3072,2048,16,1325,844,1.0
Box1_LongI-1_Lavar_A2,3072,2048,17,1426,797,1.0
Box1_LongI-1_Lavar_A2,3072,2048,18,1501,748,1.0
Box1_LongI-1_Lavar_A2,3072,2048,19,1579,668,1.0
Box1_LongI-1_Lavar_A2,3072,2048,20,1652,607,1.0
Box1_LongI-1_Lavar_A2,3072,2048,21,1743,465,1.0
Box1_LongI-1_Lavar_A2,3072,2048,22,1819,473,1.0
Box1_LongI-1_Lavar_A2,3072,2048,23,1758,546,1.0
Box1_LongI-1_Lavar_A2,3072,2048,24,1842,522,1.0
Box1_LongI-1_Lavar_A2,3072,2048,25,1941,548,1.0
Box1_LongI-1_Lavar_A2,3072,2048,26,2000,456,1.0
Box1_LongI-1_Lavar_A2,3072,2048,27,2146,482,1.0
Box1_LongI-1_Lavar_A2,3072,2048,28,2082,571,1.0
Box1_LongI-1_Lavar_A2,3072,2048,29,2228,560,1.0
Box1_LongI-1_Lavar_A2,3072,2048,30,2153,663,1.0
Box1_LongI-1_Lavar_A2,3072,2048,31,2040,616,1.0
Box1_LongI-1_Lavar_A2,3072,2048,32,2073,706,1.0
Box1_LongI-1_Lavar_A2,3072,2048,33,1960,724,1.0
Box1_LongI-1_Lavar_A2,3072,2048,34,1934,633,1.0
Box1_LongI-1_Lavar_A2,3072,2048,35,2139,778,1.0
Box1_LongI-1_Lavar_A2,3072,2048,36,2075,837,1.0
Box1_LongI-1_Lavar_A2,3072,2048,37,2162,870,1.0
Box1_LongI-1_Lavar_A2,3072,2048,38,2033,936,1.0
Box1_LongI-1_Lavar_A2,3072,2048,39,1988,814,1.0
