image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Lavar_B6,3072,2048,1,695,974,1.0
Box1_LongI-1_Lavar_B6,3072,2048,2,795,1012,1.0
Box1_LongI-1_Lavar_B6,3072,2048,3,830,987,1.0
Box1_LongI-1_Lavar_B6,3072,2048,4,877,976,1.0
Box1_LongI-1_Lavar_B6,3072,2048,5,888,1069,1.0
Box1_LongI-1_Lavar_B6,3072,2048,6,915,890,1.0
Box1_LongI-1_Lavar_B6,3072,2048,7,1066,889,1.0
Box1_LongI-1_Lavar_B6,3072,2048,8,1050,931,1.0
Box1_LongI-1_Lavar_B6,3072,2048,9,976,987,1.0
Box1_LongI-1_Lavar_B6,3072,2048,10,968,1124,1.0
Box1_LongI-1_Lavar_B6,3072,2048,11,893,1200,1.0
Box1_LongI-1_Lavar_B6,3072,2048,12,1091,1144,1.0
Box1_LongI-1_Lavar_B6,3072,2048,13,1036,1065,1.0
Box1_LongI-1_Lavar_B6,3072,2048,14,1099,980,1.0
Box1_LongI-1_Lavar_B6,3072,2048,15,1146,912,1.0
Box1_LongI-1_Lavar_B6,3072,2048,16,1130,1101,1.0
Box1_LongI-1_Lavar_B6,3072,2048,17,1157,1023,1.0
Box1_LongI-1_Lavar_B6,3072,2048,18,1217,928,1.0
Box1_LongI-1_Lavar_B6,3072,2048,19,1282,848,1.0
Box1_LongI-1_Lavar_B6,3072,2048,20,1331,775,1.0
Box1_LongI-1_Lavar_B6,3072,2048,21,1387,715,1.0
Box1_LongI-1_Lavar_B6,3072,2048,22,1489,758,1.0
Box1_LongI-1_Lavar_B6,3072,2048,23,1389,837,1.0
Box1_LongI-1_Lavar_B6,3072,2048,24,1341,936,1.0
Box1_LongI-1_Lavar_B6,3072,2048,25,1280,1006,1.0
Box1_LongI-1_Lavar_B6,3072,2048,26,1247,1106,1.0
Box1_LongI-1_Lavar_B6,3072,2048,27,1215,1184,1.0
Box1_LongI-1_Lavar_B6,3072,2048,28,1128,1216,1.0
Box1_LongI-1_Lavar_B6,3072,2048,29,1295,1224,1.0
Box1_LongI-1_Lavar_B6,3072,2048,30,1333,1133,1.0
Box1_LongI-1_Lavar_B6,3072,2048,31,1362,1055,1.0
Box1_LongI-1_Lavar_B6,3072,2048,32,1425,972,1.0
Box1_LongI-1_Lavar_B6,3072,2048,33,1444,909,1.0
Box1_LongI-1_Lavar_B6,3072,2048,34,1515,826,1.0
Box1_LongI-1_Lavar_B6,3072,2048,35,1560,770,1.0
Box1_LongI-1_Lavar_B6,3072,2048,36,1596,720,1.0
Box1_LongI-1_Lavar_B6,3072,2048,37,1353,1299,1.0
Box1_LongI-1_Lavar_B6,3072,2048,38,1396,1353,1.0
Box1_LongI-1_Lavar_B6,3072,2048,39,1373,1207,1.0
Box1_LongI-1_Lavar_B6,3072,2048,40,1430,1125,1.0
Box1_LongI-1_Lavar_B6,3072,2048,41,1491,1053,1.0
Box1_LongI-1_Lavar_B6,3072,2048,42,1525,959,1.0
Box1_LongI-1_Lavar_B6,3072,2048,43,1583,902,1.0
Box1_LongI-1_Lavar_B6,3072,2048,44,1645,826,1.0
Box1_LongI-1_Lavar_B6,3072,2048,45,1720,769,1.0
Box1_LongI-1_Lavar_B6,3072,2048,46,1765,699,1.0
Box1_LongI-1_Lavar_B6,3072,2048,47,1421,1271,1.0
Box1_LongI-1_Lavar_B6,3072,2048,48,1495,1196,1.0
Box1_LongI-1_Lavar_B6,3072,2048,49,1546,1109,1.0
Box1_LongI-1_Lavar_B6,3072,2048,50,1614,1034,1.0
Box1_LongI-1_Lavar_B6,3072,2048,51,1694,982,1.0
Box1_LongI-1_Lavar_B6,3072,2048,52,1696,916,1.0
Box1_LongI-1_Lavar_B6,3072,2048,53,1752,857,1.0
Box1_LongI-1_Lavar_B6,3072,2048,54,1812,795,1.0
Box1_LongI-1_Lavar_B6,3072,2048,55,1843,718,1.0
Box1_LongI-1_Lavar_B6,3072,2048,56,1910,752,1.0
Box1_LongI-1_Lavar_B6,3072,2048,57,1899,856,1.0
Box1_LongI-1_Lavar_B6,3072,2048,58,1840,911,1.0
Box1_LongI-1_Lavar_B6,3072,2048,59,1772,943,1.0
Box1_LongI-1_Lavar_B6,3072,2048,60,1737,1047,1.0
