image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Lavar_C1,3072,2048,1,962,710,1.0
Box1_LongI-1_Lavar_C1,3072,2048,2,981,607,1.0
Box1_LongI-1_Lavar_C1,3072,2048,3,788,807,1.0
Box1_LongI-1_Lavar_C1,3072,2048,4,923,827,1.0
Box1_LongI-1_Lavar_C1,3072,2048,5,1064,790,1.0
Box1_LongI-1_Lavar_C1,3072,2048,6,1149,731,1.0
Box1_LongI-1_Lavar_C1,3072,2048,7,1105,687,1.0
Box1_LongI-1_Lavar_C1,3072,2048,8,774,924,1.0
Box1_LongI-1_Lavar_C1,3072,2048,9,949,933,1.0
Box1_LongI-1_Lavar_C1,3072,2048,10,1056,882,1.0
Box1_LongI-1_Lavar_C1,3072,2048,11,1148,891,1.0
Box1_LongI-1_Lavar_C1,3072,2048,12,1226,832,1.0
Box1_LongI-1_Lavar_C1,3072,2048,13,1323,797,1.0
Box1_LongI-1_Lavar_C1,3072,2048,14,1452,806,1.0
Box1_LongI-1_Lavar_C1,3072,2048,15,1383,887,1.0
Box1_LongI-1_Lavar_C1,3072,2048,16,1293,942,1.0
Box1_LongI-1_Lavar_C1,3072,2048,17,1171,1013,1.0
Box1_LongI-1_Lavar_C1,3072,2048,18,1091,1022,1.0
Box1_LongI-1_Lavar_C1,3072,2048,19,939,1032,1.0
Box1_LongI-1_Lavar_C1,3072,2048,20,822,1057,1.0
Box1_LongI-1_Lavar_C1,3072,2048,21,885,1162,1.0
Box1_LongI-1_Lavar_C1,3072,2048,22,999,1172,1.0
Box1_LongI-1_Lavar_C1,3072,2048,23,1100,1123,1.0
Box1_LongI-1_Lavar_C1,3072,2048,24,1219,1139,1.0
Box1_LongI-1_Lavar_C1,3072,2048,25,1318,1048,1.0
Box1_LongI-1_Lavar_C1,3072,2048,26,1422,999,1.0
Box1_LongI-1_Lavar_C1,3072,2048,27,1497,956,1.0
Box1_LongI-1_Lavar_C1,3072,2048,28,1568,912,1.0
Box1_LongI-1_Lavar_C1,3072,2048,29,1654,830,1.0
Box1_LongI-1_Lavar_C1,3072,2048,30,1068,1252,1.0
Box1_LongI-1_Lavar_C1,3072,2048,31,1208,1256,1.0
Box1_LongI-1_Lavar_C1,3072,2048,32,1325,1211,1.0
Box1_LongI-1_Lavar_C1,3072,2048,33,1436,1165,1.0
Box1_LongI-1_Lavar_C1,3072,2048,34,1545,1086,1.0
Box1_LongI-1_Lavar_C1,3072,2048,35,1642,985,1.0
Box1_LongI-1_Lavar_C1,3072,2048,36,1752,935,1.0
Box1_LongI-1_Lavar_C1,3072,2048,37,1853,894,1.0
Box1_LongI-1_Lavar_C1,3072,2048,38,1975,967,1.0
Box1_LongI-1_Lavar_C1,3072,2048,39,1849,1002,1.0
Box1_LongI-1_Lavar_C1,3072,2048,40,1789,1084,1.0
Box1_LongI-1_Lavar_C1,3072,2048,41,1642,1139,1.0
Box1_LongI-1_Lavar_C1,3072,2048,42,1576,1185,1.0
Box1_LongI-1_Lavar_C1,3072,2048,43,1456,1291,1.0
Box1_LongI-1_Lavar_C1,3072,2048,44,1341,1291,1.0
Box1_LongI-1_Lavar_C1,3072,2048,45,1240,1396,1.0
Box1_LongI-1_Lavar_C1,3072,2048,46,1086,1362,1.0
Box1_LongI-1_Lavar_C1,3072,2048,47,1217,1520,1.0
Box1_LongI-1_Lavar_C1,3072,2048,48,1339,1444,1.0
Box1_LongI-1_Lavar_C1,3072,2048,49,1607,1302,1.0
Box1_LongI-1_Lavar_C1,3072,2048,50,1706,1231,1.0
Box1_LongI-1_Lavar_C1,3072,2048,51,1842,1190,1.0
Box1_LongI-1_Lavar_C1,3072,2048,52,1920,1112,1.0
Box1_LongI-1_Lavar_C1,3072,2048,53,2003,1086,1.0
Box1_LongI-1_Lavar_C1,3072,2048,54,2104,1024,1.0
Box1_LongI-1_Lavar_C1,3072,2048,55,2209,1089,1.0
Box1_LongI-1_Lavar_C1,3072,2048,56,2129,1162,1.0
Box1_LongI-1_Lavar_C1,3072,2048,57,2003,1219,1.0
Box1_LongI-1_Lavar_C1,3072,2048,58,1888,1235,1.0
Box1_LongI-1_Lavar_C1,3072,2048,59,1818,1325,1.0
Box1_LongI-1_Lavar_C1,3072,2048,60,1717,1351,1.0
Box1_LongI-1_Lavar_C1,3072,2048,61,1565,1415,1.0
Box1_LongI-1_Lavar_C1,3072,2048,62,1469,1432,1.0
Box1_LongI-1_Lavar_C1,3072,2048,63,1331,1562,1.0
Box1_LongI-1_Lavar_C1,3072,2048,64,1445,1539,1.0
Box1_LongI-1_Lavar_C1,3072,2048,65,1568,1517,1.0
Box1_LongI-1_Lavar_C1,3072,2048,66,1704,1474,1.0
Box1_LongI-1_Lavar_C1,3072,2048,67,1814,1414,1.0
Box1_LongI-1_Lavar_C1,3072,2048,68,1918,1378,1.0
Box1_LongI-1_Lavar_C1,3072,2048,69,2029,1341,1.0
Box1_LongI-1_Lavar_C1,3072,2048,70,2130,1291,1.0
Box1_LongI-1_Lavar_C1,3072,2048,71,2238,1224,1.0
Box1_LongI-1_Lavar_C1,3072,2048,72,2346,1294,1.0
Box1_LongI-1_Lavar_C1,3072,2048,73,2258,1348,1.0
Box1_LongI-1_Lavar_C1,3072,2048,74,2144,1408,1.0
Box1_LongI-1_Lavar_C1,3072,2048,75,2032,1459,1.0
Box1_LongI-1_Lavar_C1,3072,2048,76,1938,1489,1.0
Box1_LongI-1_Lavar_C1,3072,2048,77,1833,1546,1.0
Box1_LongI-1_Lavar_C1,3072,2048,78,1699,1586,1.0
Box1_LongI-1_Lavar_C1,3072,2048,79,1566,1627,1.0
Box1_LongI-1_Lavar_C1,3072,2048,80,1447,1646,1.0
Box1_LongI-1_Lavar_C1,3072,2048,81,1816,1658,1.0
Box1_LongI-1_Lavar_C1,3072,2048,82,1922,1621,1.0
Box1_LongI-1_Lavar_C1,3072,2048,83,2030,1576,1.0
Box1_LongI-1_Lavar_C1,3072,2048,84,2163,1497,1.0
Box1_LongI-1_Lavar_C1,3072,2048,85,2264,1488,1.0
Box1_LongI-1_Lavar_C1,3072,2048,86,2335,1405,1.0
Box1_LongI-1_Lavar_C1,3072,2048,87,2243,1610,1.0
Box1_LongI-1_Lavar_C1,3072,2048,88,2133,1670,1.0
Box1_LongI-1_Lavar_C1,3072,2048,89,2005,1700,1.0
