image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Maclo_B3,3072,2048,1,1490,326,1.0
Box1_LongI-1_Maclo_B3,3072,2048,2,1555,290,1.0
Box1_LongI-1_Maclo_B3,3072,2048,3,1552,321,1.0
Box1_LongI-1_Maclo_B3,3072,2048,4,1603,313,1.0
Box1_LongI-1_Maclo_B3,3072,2048,5,1551,345,1.0
Box1_LongI-1_Maclo_B3,3072,2048,6,1541,392,1.0
Box1_LongI-1_Maclo_B3,3072,2048,7,1481,426,1.0
Box1_LongI-1_Maclo_B3,3072,2048,8,1429,445,1.0
Box1_LongI-1_Maclo_B3,3072,2048,9,1399,469,1.0
Box1_LongI-1_Maclo_B3,3072,2048,10,1489,476,1.0
Box1_LongI-1_Maclo_B3,3072,2048,11,1539,451,1.0
Box1_LongI-1_Maclo_B3,3072,2048,12,1601,434,1.0
Box1_LongI-1_Maclo_B3,3072,2048,13,1592,391,1.0
Box1_LongI-1_Maclo_B3,3072,2048,14,1650,404,1.0
Box1_LongI-1_Maclo_B3,3072,2048,15,1661,349,1.0
Box1_LongI-1_Maclo_B3,3072,2048,16,1666,295,1.0
Box1_LongI-1_Maclo_B3,3072,2048,17,1711,337,1.0
Box1_LongI-1_Maclo_B3,3072,2048,18,1693,395,1.0
Box1_LongI-1_Maclo_B3,3072,2048,19,1674,471,1.0
Box1_LongI-1_Maclo_B3,3072,2048,20,1633,488,1.0
Box1_LongI-1_Maclo_B3,3072,2048,21,1584,499,1.0
Box1_LongI-1_Maclo_B3,3072,2048,22,1523,507,1.0
Box1_LongI-1_Maclo_B3,3072,2048,23,1472,536,1.0
Box1_LongI-1_Maclo_B3,3072,2048,24,1420,567,1.0
Box1_LongI-1_Maclo_B3,3072,2048,25,1680,520,1.0
Box1_LongI-1_Maclo_B3,3072,2048,26,1625,536,1.0
Box1_LongI-1_Maclo_B3,3072,2048,27,1577,552,1.0
Box1_LongI-1_Maclo_B3,3072,2048,28,1507,561,1.0
Box1_LongI-1_Maclo_B3,3072,2048,29,1474,586,1.0
Box1_LongI-1_Maclo_B3,3072,2048,30,1420,637,1.0
Box1_LongI-1_Maclo_B3,3072,2048,31,1375,671,1.0
Box1_LongI-1_Maclo_B3,3072,2048,32,1339,717,1.0
Box1_LongI-1_Maclo_B3,3072,2048,33,1304,794,1.0
Box1_LongI-1_Maclo_B3,3072,2048,34,1374,744,1.0
Box1_LongI-1_Maclo_B3,3072,2048,35,1417,703,1.0
Box1_LongI-1_Maclo_B3,3072,2048,36,1465,674,1.0
Box1_LongI-1_Maclo_B3,3072,2048,37,1508,632,1.0
Box1_LongI-1_Maclo_B3,3072,2048,38,1547,613,1.0
Box1_LongI-1_Maclo_B3,3072,2048,39,1616,596,1.0
Box1_LongI-1_Maclo_B3,3072,2048,40,1606,649,1.0
Box1_LongI-1_Maclo_B3,3072,2048,41,1558,674,1.0
Box1_LongI-1_Maclo_B3,3072,2048,42,1505,700,1.0
Box1_LongI-1_Maclo_B3,3072,2048,43,1469,721,1.0
Box1_LongI-1_Maclo_B3,3072,2048,44,1427,749,1.0
Box1_LongI-1_Maclo_B3,3072,2048,45,1381,789,1.0
Box1_LongI-1_Maclo_B3,3072,2048,46,1333,833,1.0
Box1_LongI-1_Maclo_B3,3072,2048,47,1283,861,1.0
Box1_LongI-1_Maclo_B3,3072,2048,48,1264,928,1.0
Box1_LongI-1_Maclo_B3,3072,2048,49,1319,897,1.0
Box1_LongI-1_Maclo_B3,3072,2048,50,1364,876,1.0
Box1_LongI-1_Maclo_B3,3072,2048,51,1431,829,1.0
Box1_LongI-1_Maclo_B3,3072,2048,52,1466,783,1.0
Box1_LongI-1_Maclo_B3,3072,2048,53,1514,749,1.0
Box1_LongI-1_Maclo_B3,3072,2048,54,1553,726,1.0
Box1_LongI-1_Maclo_B3,3072,2048,55,1604,702,1.0
Box1_LongI-1_Maclo_B3,3072,2048,56,1669,690,1.0
Box1_LongI-1_Maclo_B3,3072,2048,57,1704,729,1.0
Box1_LongI-1_Maclo_B3,3072,2048,58,1662,740,1.0
Box1_LongI-1_Maclo_B3,3072,2048,59,1613,769,1.0
Box1_LongI-1_Maclo_B3,3072,2048,60,1542,780,1.0
Box1_LongI-1_Maclo_B3,3072,2048,61,1517,814,1.0
Box1_LongI-1_Maclo_B3,3072,2048,62,1462,854,1.0
Box1_LongI-1_Maclo_B3,3072,2048,63,1423,882,1.0
Box1_LongI-1_Maclo_B3,3072,2048,64,1379,928,1.0
Box1_LongI-1_Maclo_B3,3072,2048,65,1327,961,1.0
Box1_LongI-1_Maclo_B3,3072,2048,66,1269,1034,1.0
Box1_LongI-1_Maclo_B3,3072,2048,67,1326,1004,1.0
Box1_LongI-1_Maclo_B3,3072,2048,68,1400,965,1.0
Box1_LongI-1_Maclo_B3,3072,2048,69,1443,930,1.0
Box1_LongI-1_Maclo_B3,3072,2048,70,1497,896,1.0
Box1_LongI-1_Maclo_B3,3072,2048,71,1526,862,1.0
Box1_LongI-1_Maclo_B3,3072,2048,72,1577,842,1.0
Box1_LongI-1_Maclo_B3,3072,2048,73,1615,817,1.0
Box1_LongI-1_Maclo_B3,3072,2048,74,1668,793,1.0
Box1_LongI-1_Maclo_B3,3072,2048,75,1713,770,1.0
Box1_LongI-1_Maclo_B3,3072,2048,76,1751,812,1.0
Box1_LongI-1_Maclo_B3,3072,2048,77,1703,831,1.0
Box1_LongI-1_Maclo_B3,3072,2048,78,1634,849,1.0
Box1_LongI-1_Maclo_B3,3072,2048,79,1610,883,1.0
Box1_LongI-1_Maclo_B3,3072,2048,80,1569,904,1.0
Box1_LongI-1_Maclo_B3,3072,2048,81,1529,933,1.0
Box1_LongI-1_Maclo_B3,3072,2048,82,1483,950,1.0
Box1_LongI-1_Maclo_B3,3072,2048,83,1441,997,1.0
Box1_LongI-1_Maclo_B3,3072,2048,84,1380,1032,1.0
Box1_LongI-1_Maclo_B3,3072,2048,85,1347,1050,1.0
Box1_LongI-1_Maclo_B3,3072,2048,86,1283,1087,1.0
Box1_LongI-1_Maclo_B3,3072,2048,87,1230,1158,1.0
Box1_LongI-1_Maclo_B3,3072,2048,88,1327,1125,1.0
Box1_LongI-1_Maclo_B3,3072,2048,89,1382,1095,1.0
Box1_LongI-1_Maclo_B3,3072,2048,90,1424,1061,1.0
Box1_LongI-1_Maclo_B3,3072,2048,91,1473,1031,1.0
Box1_LongI-1_Maclo_B3,3072,2048,92,1509,996,1.0
Box1_LongI-1_Maclo_B3,3072,2048,93,1576,969,1.0
Box1_LongI-1_Maclo_B3,3072,2048,94,1604,939,1.0
Box1_LongI-1_Maclo_B3,3072,2048,95,1638,912,1.0
Box1_LongI-1_Maclo_B3,3072,2048,96,1689,891,1.0
Box1_LongI-1_Maclo_B3,3072,2048,97,1731,890,1.0
Box1_LongI-1_Maclo_B3,3072,2048,98,1762,923,1.0
Box1_LongI-1_Maclo_B3,3072,2048,99,1717,942,1.0
Box1_LongI-1_Maclo_B3,3072,2048,100,1681,970,1.0
Box1_LongI-1_Maclo_B3,3072,2048,101,1639,990,1.0
Box1_LongI-1_Maclo_B3,3072,2048,102,1593,1018,1.0
Box1_LongI-1_Maclo_B3,3072,2048,103,1553,1051,1.0
Box1_LongI-1_Maclo_B3,3072,2048,104,1523,1080,1.0
Box1_LongI-1_Maclo_B3,3072,2048,105,1468,1097,1.0
Box1_LongI-1_Maclo_B3,3072,2048,106,1419,1123,1.0
Box1_LongI-1_Maclo_B3,3072,2048,107,1359,1148,1.0
Box1_LongI-1_Maclo_B3,3072,2048,108,1301,1180,1.0
Box1_LongI-1_Maclo_B3,3072,2048,109,1251,1200,1.0
Box1_LongI-1_Maclo_B3,3072,2048,110,1244,1266,1.0
Box1_LongI-1_Maclo_B3,3072,2048,111,1280,1235,1.0
Box1_LongI-1_Maclo_B3,3072,2048,112,1355,1201,1.0
Box1_LongI-1_Maclo_B3,3072,2048,113,1402,1182,1.0
Box1_LongI-1_Maclo_B3,3072,2048,114,1459,1157,1.0
Box1_LongI-1_Maclo_B3,3072,2048,115,1502,1130,1.0
Box1_LongI-1_Maclo_B3,3072,2048,116,1571,1136,1.0
Box1_LongI-1_Maclo_B3,3072,2048,117,1594,1086,1.0
Box1_LongI-1_Maclo_B3,3072,2048,118,1638,1049,1.0
Box1_LongI-1_Maclo_B3,3072,2048,119,1681,1022,1.0
Box1_LongI-1_Maclo_B3,3072,2048,120,1735,1000,1.0
Box1_LongI-1_Maclo_B3,3072,2048,121,1778,1036,1.0
Box1_LongI-1_Maclo_B3,3072,2048,122,1701,1042,1.0
Box1_LongI-1_Maclo_B3,3072,2048,123,1660,1082,1.0
Box1_LongI-1_Maclo_B3,3072,2048,124,1625,1110,1.0
Box1_LongI-1_Maclo_B3,3072,2048,125,1273,1312,1.0
Box1_LongI-1_Maclo_B3,3072,2048,126,1328,1272,1.0
Box1_LongI-1_Maclo_B3,3072,2048,127,1386,1234,1.0
Box1_LongI-1_Maclo_B3,3072,2048,128,1440,1220,1.0
Box1_LongI-1_Maclo_B3,3072,2048,129,1494,1207,1.0
Box1_LongI-1_Maclo_B3,3072,2048,130,1549,1185,1.0
Box1_LongI-1_Maclo_B3,3072,2048,131,1585,1171,1.0
Box1_LongI-1_Maclo_B3,3072,2048,132,1655,1151,1.0
Box1_LongI-1_Maclo_B3,3072,2048,133,1715,1125,1.0
Box1_LongI-1_Maclo_B3,3072,2048,134,1618,1205,1.0
Box1_LongI-1_Maclo_B3,3072,2048,135,1556,1245,1.0
Box1_LongI-1_Maclo_B3,3072,2048,136,1520,1259,1.0
Box1_LongI-1_Maclo_B3,3072,2048,137,1474,1259,1.0
Box1_LongI-1_Maclo_B3,3072,2048,138,1425,1284,1.0
Box1_LongI-1_Maclo_B3,3072,2048,139,1367,1316,1.0
Box1_LongI-1_Maclo_B3,3072,2048,140,1317,1341,1.0
Box1_LongI-1_Maclo_B3,3072,2048,141,1261,1366,1.0
Box1_LongI-1_Maclo_B3,3072,2048,142,1290,1410,1.0
Box1_LongI-1_Maclo_B3,3072,2048,143,1349,1395,1.0
Box1_LongI-1_Maclo_B3,3072,2048,144,1402,1355,1.0
Box1_LongI-1_Maclo_B3,3072,2048,145,1516,1320,1.0
Box1_LongI-1_Maclo_B3,3072,2048,146,1451,1332,1.0
Box1_LongI-1_Maclo_B3,3072,2048,147,1559,1290,1.0
Box1_LongI-1_Maclo_B3,3072,2048,148,1602,1294,1.0
Box1_LongI-1_Maclo_B3,3072,2048,149,1667,1263,1.0
Box1_LongI-1_Maclo_B3,3072,2048,150,1649,1321,1.0
Box1_LongI-1_Maclo_B3,3072,2048,151,1601,1341,1.0
Box1_LongI-1_Maclo_B3,3072,2048,152,1552,1354,1.0
Box1_LongI-1_Maclo_B3,3072,2048,153,1481,1361,1.0
Box1_LongI-1_Maclo_B3,3072,2048,154,1449,1382,1.0
Box1_LongI-1_Maclo_B3,3072,2048,155,1397,1411,1.0
Box1_LongI-1_Maclo_B3,3072,2048,156,1353,1438,1.0
Box1_LongI-1_Maclo_B3,3072,2048,157,1294,1471,1.0
Box1_LongI-1_Maclo_B3,3072,2048,158,1285,1541,1.0
Box1_LongI-1_Maclo_B3,3072,2048,159,1324,1499,1.0
Box1_LongI-1_Maclo_B3,3072,2048,160,1376,1479,1.0
Box1_LongI-1_Maclo_B3,3072,2048,161,1430,1464,1.0
Box1_LongI-1_Maclo_B3,3072,2048,162,1489,1418,1.0
Box1_LongI-1_Maclo_B3,3072,2048,163,1522,1405,1.0
Box1_LongI-1_Maclo_B3,3072,2048,164,1587,1394,1.0
Box1_LongI-1_Maclo_B3,3072,2048,165,1570,1450,1.0
Box1_LongI-1_Maclo_B3,3072,2048,166,1520,1471,1.0
Box1_LongI-1_Maclo_B3,3072,2048,167,1479,1491,1.0
Box1_LongI-1_Maclo_B3,3072,2048,168,1435,1515,1.0
Box1_LongI-1_Maclo_B3,3072,2048,169,1364,1528,1.0
Box1_LongI-1_Maclo_B3,3072,2048,170,1316,1574,1.0
Box1_LongI-1_Maclo_B3,3072,2048,171,1261,1601,1.0
Box1_LongI-1_Maclo_B3,3072,2048,172,1312,1625,1.0
