image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Slab_A4,3072,2048,1,874,714,1.0
Box1_LongI-1_Slab_A4,3072,2048,2,1077,546,1.0
Box1_LongI-1_Slab_A4,3072,2048,3,849,866,1.0
Box1_LongI-1_Slab_A4,3072,2048,4,903,1001,1.0
Box1_LongI-1_Slab_A4,3072,2048,5,1001,1125,1.0
Box1_LongI-1_Slab_A4,3072,2048,6,998,866,1.0
Box1_LongI-1_Slab_A4,3072,2048,7,1031,703,1.0
Box1_LongI-1_Slab_A4,3072,2048,8,1215,527,1.0
Box1_LongI-1_Slab_A4,3072,2048,9,1154,674,1.0
Box1_LongI-1_Slab_A4,3072,2048,10,1138,815,1.0
Box1_LongI-1_Slab_A4,3072,2048,11,1042,976,1.0
Box1_LongI-1_Slab_A4,3072,2048,12,1110,1073,1.0
Box1_LongI-1_Slab_A4,3072,2048,13,1170,952,1.0
Box1_LongI-1_Slab_A4,3072,2048,14,1242,827,1.0
Box1_LongI-1_Slab_A4,3072,2048,15,1297,678,1.0
Box1_LongI-1_Slab_A4,3072,2048,16,1334,542,1.0
Box1_LongI-1_Slab_A4,3072,2048,17,1162,1192,1.0
Box1_LongI-1_Slab_A4,3072,2048,18,1259,1101,1.0
Box1_LongI-1_Slab_A4,3072,2048,19,1329,934,1.0
Box1_LongI-1_Slab_A4,3072,2048,20,1377,820,1.0
Box1_LongI-1_Slab_A4,3072,2048,21,1418,688,1.0
Box1_LongI-1_Slab_A4,3072,2048,22,1457,562,1.0
Box1_LongI-1_Slab_A4,3072,2048,23,1557,633,1.0
Box1_LongI-1_Slab_A4,3072,2048,24,1539,772,1.0
Box1_LongI-1_Slab_A4,3072,2048,25,1459,936,1.0
Box1_LongI-1_Slab_A4,3072,2048,26,1404,1090,1.0
Box1_LongI-1_Slab_A4,3072,2048,27,1293,1215,1.0
Box1_LongI-1_Slab_A4,3072,2048,28,1318,1350,1.0
Box1_LongI-1_Slab_A4,3072,2048,29,1423,1229,1.0
Box1_LongI-1_Slab_A4,3072,2048,30,1537,1039,1.0
Box1_LongI-1_Slab_A4,3072,2048,31,1612,916,1.0
Box1_LongI-1_Slab_A4,3072,2048,32,1679,804,1.0
Box1_LongI-1_Slab_A4,3072,2048,33,1724,982,1.0
Box1_LongI-1_Slab_A4,3072,2048,34,1640,1087,1.0
Box1_LongI-1_Slab_A4,3072,2048,35,1557,1204,1.0
Box1_LongI-1_Slab_A4,3072,2048,36,1457,1347,1.0
Box1_LongI-1_Slab_A4,3072,2048,37,1517,1466,1.0
Box1_LongI-1_Slab_A4,3072,2048,38,1631,1307,1.0
Box1_LongI-1_Slab_A4,3072,2048,39,1743,1227,1.0
Box1_LongI-1_Slab_A4,3072,2048,40,1793,1130,1.0
Box1_LongI-1_Slab_A4,3072,2048,41,1870,1236,1.0
Box1_LongI-1_Slab_A4,3072,2048,42,1809,1368,1.0
Box1_LongI-1_Slab_A4,3072,2048,43,1688,1514,1.0
Box1_LongI-1_Slab_A4,3072,2048,44,1767,589,1.0
Box1_LongI-1_Slab_A4,3072,2048,45,1893,633,1.0
Box1_LongI-1_Slab_A4,3072,2048,46,1916,811,1.0
Box1_LongI-1_Slab_A4,3072,2048,47,2050,738,1.0
Box1_LongI-1_Slab_A4,3072,2048,48,2092,941,1.0
Box1_LongI-1_Slab_A4,3072,2048,49,2178,800,1.0
