image,width,height,egg_id,x,y,confidence
Box1_LongI-1_Slab_C1,3072,2048,1,1372,1607,1.0
Box1_LongI-1_Slab_C1,3072,2048,2,1115,1643,1.0
Box1_LongI-1_Slab_C1,3072,2048,3,1210,1606,1.0
Box1_LongI-1_Slab_C1,3072,2048,4,1291,1563,1.0
Box1_LongI-1_Slab_C1,3072,2048,5,1363,1523,1.0
Box1_LongI-1_Slab_C1,3072,2048,6,1463,1496,1.0
Box1_LongI-1_Slab_C1,3072,2048,7,1039,1581,1.0
Box1_LongI-1_Slab_C1,3072,2048,8,1138,1562,1.0
Box1_LongI-1_Slab_C1,3072,2048,9,1226,1535,1.0
Box1_LongI-1_Slab_C1,3072,2048,10,1312,1490,1.0
Box1_LongI-1_Slab_C1,3072,2048,11,1374,1451,1.0
Box1_LongI-1_Slab_C1,3072,2048,12,1440,1402,1.0
Box1_LongI-1_Slab_C1,3072,2048,13,1432,1319,1.0
Box1_LongI-1_Slab_C1,3072,2048,14,1365,1359,1.0
Box1_LongI-1_Slab_C1,3072,2048,15,1299,1412,1.0
Box1_LongI-1_Slab_C1,3072,2048,16,1225,1454,1.0
Box1_LongI-1_Slab_C1,3072,2048,17,1142,1473,1.0
Box1_LongI-1_Slab_C1,3072,2048,18,1052,1525,1.0
Box1_LongI-1_Slab_C1,3072,2048,19,977,1458,1.0
Box1_LongI-1_Slab_C1,3072,2048,20,1071,1428,1.0
Box1_LongI-1_Slab_C1,3072,2048,21,1153,1401,1.0
Box1_LongI-1_Slab_C1,3072,2048,22,1234,1375,1.0
Box1_LongI-1_Slab_C1,3072,2048,23,1305,1325,1.0
Box1_LongI-1_Slab_C1,3072,2048,24,1359,1280,1.0
Box1_LongI-1_Slab_C1,3072,2048,25,1425,1235,1.0
Box1_LongI-1_Slab_C1,3072,2048,26,1014,1363,1.0
Box1_LongI-1_Slab_C1,3072,2048,27,1101,1338,1.0
Box1_LongI-1_Slab_C1,3072,2048,28,1152,1329,1.0
Box1_LongI-1_Slab_C1,3072,2048,29,1216,1295,1.0
Box1_LongI-1_Slab_C1,3072,2048,30,1304,1251,1.0
Box1_LongI-1_Slab_C1,3072,2048,31,1362,1204,1.0
Box1_LongI-1_Slab_C1,3072,2048,32,1420,1156,1.0
Box1_LongI-1_Slab_C1,3072,2048,33,1415,1081,1.0
Box1_LongI-1_Slab_C1,3072,2048,34,1354,1127,1.0
Box1_LongI-1_Slab_C1,3072,2048,35,1289,1169,1.0
Box1_LongI-1_Slab_C1,3072,2048,36,1226,1227,1.0
Box1_LongI-1_Slab_C1,3072,2048,37,1156,1255,1.0
Box1_LongI-1_Slab_C1,3072,2048,38,1070,1272,1.0
Box1_LongI-1_Slab_C1,3072,2048,39,1010,1298,1.0
Box1_LongI-1_Slab_C1,3072,2048,40,1037,1221,1.0
Box1_LongI-1_Slab_C1,3072,2048,41,1094,1206,1.0
Box1_LongI-1_Slab_C1,3072,2048,42,1157,1170,1.0
Box1_LongI-1_Slab_C1,3072,2048,43,1217,1131,1.0
Box1_LongI-1_Slab_C1,3072,2048,44,1288,1089,1.0
Box1_LongI-1_Slab_C1,3072,2048,45,1350,1042,1.0
Box1_LongI-1_Slab_C1,3072,2048,46,1408,995,1.0
Box1_LongI-1_Slab_C1,3072,2048,47,1367,942,1.0
Box1_LongI-1_Slab_C1,3072,2048,48,1300,998,1.0
Box1_LongI-1_Slab_C1,3072,2048,49,1234,1044,1.0
Box1_LongI-1_Slab_C1,3072,2048,50,1153,1066,1.0
Box1_LongI-1_Slab_C1,3072,2048,51,1095,1117,1.0
Box1_LongI-1_Slab_C1,3072,2048,52,1027,1153,1.0
Box1_LongI-1_Slab_C1,3072,2048,53,1011,1059,1.0
Box1_LongI-1_Slab_C1,3072,2048,54,1086,1030,1.0
Box1_LongI-1_Slab_C1,3072,2048,55,1162,983,1.0
Box1_LongI-1_Slab_C1,3072,2048,56,1224,952,1.0
Box1_LongI-1_Slab_C1,3072,2048,57,1300,922,1.0
Box1_LongI-1_Slab_C1,3072,2048,58,1352,860,1.0
Box1_LongI-1_Slab_C1,3072,2048,59,1290,830,1.0
Box1_LongI-1_Slab_C1,3072,2048,60,1224,898,1.0
Box1_LongI-1_Slab_C1,3072,2048,61,1157,906,1.0
Box1_LongI-1_Slab_C1,3072,2048,62,1080,960,1.0
Box1_LongI-1_Slab_C1,3072,2048,63,1016,998,1.0
Box1_LongI-1_Slab_C1,3072,2048,64,1064,886,1.0
Box1_LongI-1_Slab_C1,3072,2048,65,1138,845,1.0
Box1_LongI-1_Slab_C1,3072,2048,66,1238,803,1.0
Box1_LongI-1_Slab_C1,3072,2048,67,1295,749,1.0
Box1_LongI-1_Slab_C1,3072,2048,68,1225,707,1.0
Box1_LongI-1_Slab_C1,3072,2048,69,1112,792,1.0
Box1_LongI-1_Slab_C1,3072,2048,70,1052,815,1.0
Box1_LongI-1_Slab_C1,3072,2048,71,1047,716,1.0
Box1_LongI-1_Slab_C1,3072,2048,72,1129,705,1.0
Box1_LongI-1_Slab_C1,3072,2048,73,1098,609,1.0
Box1_LongI-1_Slab_C1,3072,2048,74,1184,575,1.0
Box1_LongI-1_Slab_C1,3072,2048,75,1262,619,1.0
