image,width,height,egg_id,x,y,confidence
Box1_Long_SlabTC_A6,3072,2048,1,1199,792,1.0
Box1_Long_SlabTC_A6,3072,2048,2,1196,708,1.0
Box1_Long_SlabTC_A6,3072,2048,3,1228,621,1.0
Box1_Long_SlabTC_A6,3072,2048,4,1263,842,1.0
Box1_Long_SlabTC_A6,3072,2048,5,1263,734,1.0
Box1_Long_SlabTC_A6,3072,2048,6,1270,676,1.0
Box1_Long_SlabTC_A6,3072,2048,7,1296,603,1.0
Box1_Long_SlabTC_A6,3072,2048,8,1372,610,1.0
Box1_Long_SlabTC_A6,3072,2048,9,1357,676,1.0
Box1_Long_SlabTC_A6,3072,2048,10,1343,737,1.0
Box1_Long_SlabTC_A6,3072,2048,11,1328,822,1.0
Box1_Long_SlabTC_A6,3072,2048,12,1310,900,1.0
Box1_Long_SlabTC_A6,3072,2048,13,1354,1116,1.0
Box1_Long_SlabTC_A6,3072,2048,14,1366,1024,1.0
Box1_Long_SlabTC_A6,3072,2048,15,1355,947,1.0
Box1_Long_SlabTC_A6,3072,2048,16,1381,886,1.0
Box1_Long_SlabTC_A6,3072,2048,17,1402,806,1.0
Box1_Long_SlabTC_A6,3072,2048,18,1412,748,1.0
Box1_Long_SlabTC_A6,3072,2048,19,1441,690,1.0
Box1_Long_SlabTC_A6,3072,2048,20,1502,744,1.0
Box1_Long_SlabTC_A6,3072,2048,21,1470,810,1.0
Box1_Long_SlabTC_A6,3072,2048,22,1451,873,1.0
Box1_Long_SlabTC_A6,3072,2048,23,1435,935,1.0
Box1_Long_SlabTC_A6,3072,2048,24,1424,1000,1.0
Box1_Long_SlabTC_A6,3072,2048,25,1430,1060,1.0
Box1_Long_SlabTC_A6,3072,2048,26,1408,1152,1.0
Box1_Long_SlabTC_A6,3072,2048,27,1462,1223,1.0
Box1_Long_SlabTC_A6,3072,2048,28,1471,1125,1.0
Box1_Long_SlabTC_A6,3072,2048,29,1489,1054,1.0
Box1_Long_SlabTC_A6,3072,2048,30,1497,995,1.0
Box1_Long_SlabTC_A6,3072,2048,31,1511,929,1.0
Box1_Long_SlabTC_A6,3072,2048,32,1528,862,1.0
Box1_Long_SlabTC_A6,3072,2048,33,1557,804,1.0
Box1_Long_SlabTC_A6,3072,2048,34,1571,726,1.0
Box1_Long_SlabTC_A6,3072,2048,35,1620,768,1.0
Box1_Long_SlabTC_A6,3072,2048,36,1609,844,1.0
Box1_Long_SlabTC_A6,3072,2048,37,1589,904,1.0
Box1_Long_SlabTC_A6,3072,2048,38,1578,958,1.0
Box1_Long_SlabTC_A6,3072,2048,39,1560,1033,1.0
Box1_Long_SlabTC_A6,3072,2048,40,1537,1100,1.0
Box1_Long_SlabTC_A6,3072,2048,41,1528,1185,1.0
Box1_Long_SlabTC_A6,3072,2048,42,1517,1248,1.0
Box1_Long_SlabTC_A6,3072,2048,43,1567,1285,1.0
Box1_Long_SlabTC_A6,3072,2048,44,1578,1219,1.0
Box1_Long_SlabTC_A6,3072,2048,45,1598,1145,1.0
Box1_Long_SlabTC_A6,3072,2048,46,1607,1074,1.0
Box1_Long_SlabTC_A6,3072,2048,47,1622,1009,1.0
Box1_Long_SlabTC_A6,3072,2048,48,1651,942,1.0
Box1_Long_SlabTC_A6,3072,2048,49,1660,877,1.0
Box1_Long_SlabTC_A6,3072,2048,50,1687,815,1.0
Box1_Long_SlabTC_A6,3072,2048,51,1720,909,1.0
Box1_Long_SlabTC_A6,3072,2048,52,1702,1000,1.0
Box1_Long_SlabTC_A6,3072,2048,53,1682,1067,1.0
Box1_Long_SlabTC_A6,3072,2048,54,1665,1116,1.0
Box1_Long_SlabTC_A6,3072,2048,55,1615,1332,1.0
Box1_Long_SlabTC_A6,3072,2048,56,1622,1259,1.0
Box1_Long_SlabTC_A6,3072,2048,57,1653,1192,1.0
Box1_Long_SlabTC_A6,3072,2048,58,1683,1373,1.0
Box1_Long_SlabTC_A6,3072,2048,59,1683,1310,1.0
Box1_Long_SlabTC_A6,3072,2048,60,1691,1247,1.0
Box1_Long_SlabTC_A6,3072,2048,61,1709,1167,1.0
Box1_Long_SlabTC_A6,3072,2048,62,1731,1096,1.0
Box1_Long_SlabTC_A6,3072,2048,63,1745,1049,1.0
Box1_Long_SlabTC_A6,3072,2048,64,1776,989,1.0
Box1_Long_SlabTC_A6,3072,2048,65,1810,1083,1.0
Box1_Long_SlabTC_A6,3072,2048,66,1774,1138,1.0
Box1_Long_SlabTC_A6,3072,2048,67,1767,1201,1.0
Box1_Long_SlabTC_A6,3072,2048,68,1767,1279,1.0
Box1_Long_SlabTC_A6,3072,2048,69,1743,1370,1.0
Box1_Long_SlabTC_A6,3072,2048,70,1781,1430,1.0
Box1_Long_SlabTC_A6,3072,2048,71,1830,1386,1.0
Box1_Long_SlabTC_A6,3072,2048,72,1821,1314,1.0
Box1_Long_SlabTC_A6,3072,2048,73,1807,1248,1.0
Box1_Long_SlabTC_A6,3072,2048,74,1841,1180,1.0
Box1_Long_SlabTC_A6,3072,2048,75,1868,1125,1.0
Box1_Long_SlabTC_A6,3072,2048,76,1888,1062,1.0
Box1_Long_SlabTC_A6,3072,2048,77,1876,996,1.0
Box1_Long_SlabTC_A6,3072,2048,78,1943,1074,1.0
Box1_Long_SlabTC_A6,3072,2048,79,1903,1183,1.0
Box1_Long_SlabTC_A6,3072,2048,80,1876,1277,1.0
Box1_Long_SlabTC_A6,3072,2048,81,1877,1355,1.0
Box1_Long_SlabTC_A6,3072,2048,82,1901,1455,1.0
Box1_Long_SlabTC_A6,3072,2048,83,1926,1379,1.0
Box1_Long_SlabTC_A6,3072,2048,84,1984,1433,1.0
Box1_Long_SlabTC_A6,3072,2048,85,1977,1363,1.0
Box1_Long_SlabTC_A6,3072,2048,86,2028,1401,1.0
Box1_Long_SlabTC_A6,3072,2048,87,2100,1417,1.0
Box1_Long_SlabTC_A6,3072,2048,88,2144,1460,1.0
Box1_Long_SlabTC_A6,3072,2048,89,2211,1506,1.0
Box1_Long_SlabTC_A6,3072,2048,90,2191,1413,1.0
Box1_Long_SlabTC_A6,3072,2048,91,2158,1373,1.0
Box1_Long_SlabTC_A6,3072,2048,92,2180,1321,1.0
Box1_Long_SlabTC_A6,3072,2048,93,2099,1330,1.0
Box1_Long_SlabTC_A6,3072,2048,94,2071,1315,1.0
Box1_Long_SlabTC_A6,3072,2048,95,2102,1263,1.0
Box1_Long_SlabTC_A6,3072,2048,96,2046,1252,1.0
Box1_Long_SlabTC_A6,3072,2048,97,1972,1303,1.0
Box1_Long_SlabTC_A6,3072,2048,98,1955,1248,1.0
Box1_Long_SlabTC_A6,3072,2048,99,2019,1194,1.0
Box1_Long_SlabTC_A6,3072,2048,100,1983,1141,1.0
