image,width,height,egg_id,x,y,confidence
Box1_Long_SlabTC_B3,3072,2048,1,1308,397,1.0
Box1_Long_SlabTC_B3,3072,2048,2,1464,393,1.0
Box1_Long_SlabTC_B3,3072,2048,3,1267,460,1.0
Box1_Long_SlabTC_B3,3072,2048,4,1408,476,1.0
Box1_Long_SlabTC_B3,3072,2048,5,1325,516,1.0
Box1_Long_SlabTC_B3,3072,2048,6,1261,574,1.0
Box1_Long_SlabTC_B3,3072,2048,7,1274,643,1.0
Box1_Long_SlabTC_B3,3072,2048,8,1281,752,1.0
Box1_Long_SlabTC_B3,3072,2048,9,1279,841,1.0
Box1_Long_SlabTC_B3,3072,2048,10,1274,913,1.0
Box1_Long_SlabTC_B3,3072,2048,11,1306,1020,1.0
Box1_Long_SlabTC_B3,3072,2048,12,1401,1044,1.0
Box1_Long_SlabTC_B3,3072,2048,13,1352,964,1.0
Box1_Long_SlabTC_B3,3072,2048,14,1350,862,1.0
Box1_Long_SlabTC_B3,3072,2048,15,1361,795,1.0
Box1_Long_SlabTC_B3,3072,2048,16,1334,712,1.0
Box1_Long_SlabTC_B3,3072,2048,17,1325,616,1.0
Box1_Long_SlabTC_B3,3072,2048,18,1415,585,1.0
Box1_Long_SlabTC_B3,3072,2048,19,1422,659,1.0
Box1_Long_SlabTC_B3,3072,2048,20,1430,752,1.0
Box1_Long_SlabTC_B3,3072,2048,21,1450,813,1.0
Box1_Long_SlabTC_B3,3072,2048,22,1437,895,1.0
Box1_Long_SlabTC_B3,3072,2048,23,1459,973,1.0
Box1_Long_SlabTC_B3,3072,2048,24,1462,1127,1.0
Box1_Long_SlabTC_B3,3072,2048,25,1457,1194,1.0
Box1_Long_SlabTC_B3,3072,2048,26,1500,1259,1.0
Box1_Long_SlabTC_B3,3072,2048,27,1533,1158,1.0
Box1_Long_SlabTC_B3,3072,2048,28,1517,1027,1.0
Box1_Long_SlabTC_B3,3072,2048,29,1531,958,1.0
Box1_Long_SlabTC_B3,3072,2048,30,1528,862,1.0
Box1_Long_SlabTC_B3,3072,2048,31,1520,781,1.0
Box1_Long_SlabTC_B3,3072,2048,32,1506,696,1.0
Box1_Long_SlabTC_B3,3072,2048,33,1493,636,1.0
Box1_Long_SlabTC_B3,3072,2048,34,1473,520,1.0
Box1_Long_SlabTC_B3,3072,2048,35,1589,802,1.0
Box1_Long_SlabTC_B3,3072,2048,36,1602,886,1.0
Box1_Long_SlabTC_B3,3072,2048,37,1607,1027,1.0
Box1_Long_SlabTC_B3,3072,2048,38,1593,1111,1.0
Box1_Long_SlabTC_B3,3072,2048,39,1591,1201,1.0
Box1_Long_SlabTC_B3,3072,2048,40,1584,1281,1.0
Box1_Long_SlabTC_B3,3072,2048,41,1522,1350,1.0
Box1_Long_SlabTC_B3,3072,2048,42,1544,1421,1.0
Box1_Long_SlabTC_B3,3072,2048,43,1558,1495,1.0
Box1_Long_SlabTC_B3,3072,2048,44,1625,1379,1.0
Box1_Long_SlabTC_B3,3072,2048,45,1680,1317,1.0
Box1_Long_SlabTC_B3,3072,2048,46,1716,1227,1.0
Box1_Long_SlabTC_B3,3072,2048,47,1740,1156,1.0
Box1_Long_SlabTC_B3,3072,2048,48,1757,1074,1.0
Box1_Long_SlabTC_B3,3072,2048,49,1673,956,1.0
Box1_Long_SlabTC_B3,3072,2048,50,1680,1052,1.0
Box1_Long_SlabTC_B3,3072,2048,51,1656,1141,1.0
Box1_Long_SlabTC_B3,3072,2048,52,1806,1231,1.0
Box1_Long_SlabTC_B3,3072,2048,53,1747,1297,1.0
Box1_Long_SlabTC_B3,3072,2048,54,1718,1382,1.0
Box1_Long_SlabTC_B3,3072,2048,55,1637,1448,1.0
Box1_Long_SlabTC_B3,3072,2048,56,1661,1530,1.0
Box1_Long_SlabTC_B3,3072,2048,57,1722,1456,1.0
Box1_Long_SlabTC_B3,3072,2048,58,1788,1380,1.0
Box1_Long_SlabTC_B3,3072,2048,59,1828,1303,1.0
Box1_Long_SlabTC_B3,3072,2048,60,1889,1316,1.0
Box1_Long_SlabTC_B3,3072,2048,61,1859,1399,1.0
Box1_Long_SlabTC_B3,3072,2048,62,1806,1461,1.0
Box1_Long_SlabTC_B3,3072,2048,63,1743,1514,1.0
Box1_Long_SlabTC_B3,3072,2048,64,1680,1582,1.0
Box1_Long_SlabTC_B3,3072,2048,65,1773,1582,1.0
Box1_Long_SlabTC_B3,3072,2048,66,1833,1541,1.0
Box1_Long_SlabTC_B3,3072,2048,67,1885,1459,1.0
Box1_Long_SlabTC_B3,3072,2048,68,1938,1376,1.0
Box1_Long_SlabTC_B3,3072,2048,69,1956,1481,1.0
Box1_Long_SlabTC_B3,3072,2048,70,1889,1527,1.0
Box1_Long_SlabTC_B3,3072,2048,71,1814,1647,1.0
