image,width,height,egg_id,x,y,confidence
Box1_Long_SlabTC_C1,3072,2048,1,849,865,1.0
Box1_Long_SlabTC_C1,3072,2048,2,838,784,1.0
Box1_Long_SlabTC_C1,3072,2048,3,841,709,1.0
Box1_Long_SlabTC_C1,3072,2048,4,843,637,1.0
Box1_Long_SlabTC_C1,3072,2048,5,908,578,1.0
Box1_Long_SlabTC_C1,3072,2048,6,908,675,1.0
Box1_Long_SlabTC_C1,3072,2048,7,921,742,1.0
Box1_Long_SlabTC_C1,3072,2048,8,925,818,1.0
Box1_Long_SlabTC_C1,3072,2048,9,928,888,1.0
Box1_Long_SlabTC_C1,3072,2048,10,951,952,1.0
Box1_Long_SlabTC_C1,3072,2048,11,1045,1054,1.0
Box1_Long_SlabTC_C1,3072,2048,12,1028,974,1.0
Box1_Long_SlabTC_C1,3072,2048,13,994,886,1.0
Box1_Long_SlabTC_C1,3072,2048,14,993,808,1.0
Box1_Long_SlabTC_C1,3072,2048,15,987,732,1.0
Box1_Long_SlabTC_C1,3072,2048,16,975,656,1.0
Box1_Long_SlabTC_C1,3072,2048,17,991,586,1.0
Box1_Long_SlabTC_C1,3072,2048,18,1067,609,1.0
Box1_Long_SlabTC_C1,3072,2048,19,1058,687,1.0
Box1_Long_SlabTC_C1,3072,2048,20,1071,765,1.0
Box1_Long_SlabTC_C1,3072,2048,21,1076,847,1.0
Box1_Long_SlabTC_C1,3072,2048,22,1085,925,1.0
Box1_Long_SlabTC_C1,3072,2048,23,1092,1002,1.0
Box1_Long_SlabTC_C1,3072,2048,24,1103,1089,1.0
Box1_Long_SlabTC_C1,3072,2048,25,1139,1157,1.0
Box1_Long_SlabTC_C1,3072,2048,26,1196,1180,1.0
Box1_Long_SlabTC_C1,3072,2048,27,1194,1108,1.0
Box1_Long_SlabTC_C1,3072,2048,28,1162,1033,1.0
Box1_Long_SlabTC_C1,3072,2048,29,1147,951,1.0
Box1_Long_SlabTC_C1,3072,2048,30,1146,875,1.0
Box1_Long_SlabTC_C1,3072,2048,31,1132,797,1.0
Box1_Long_SlabTC_C1,3072,2048,32,1130,715,1.0
Box1_Long_SlabTC_C1,3072,2048,33,1126,639,1.0
Box1_Long_SlabTC_C1,3072,2048,34,1196,668,1.0
Box1_Long_SlabTC_C1,3072,2048,35,1208,753,1.0
Box1_Long_SlabTC_C1,3072,2048,36,1198,827,1.0
Box1_Long_SlabTC_C1,3072,2048,37,1209,908,1.0
Box1_Long_SlabTC_C1,3072,2048,38,1205,984,1.0
Box1_Long_SlabTC_C1,3072,2048,39,1252,1052,1.0
Box1_Long_SlabTC_C1,3072,2048,40,1259,1146,1.0
Box1_Long_SlabTC_C1,3072,2048,41,1258,1229,1.0
Box1_Long_SlabTC_C1,3072,2048,42,1289,1301,1.0
Box1_Long_SlabTC_C1,3072,2048,43,1367,1324,1.0
Box1_Long_SlabTC_C1,3072,2048,44,1339,1248,1.0
Box1_Long_SlabTC_C1,3072,2048,45,1314,1168,1.0
Box1_Long_SlabTC_C1,3072,2048,46,1314,1099,1.0
Box1_Long_SlabTC_C1,3072,2048,47,1317,1008,1.0
Box1_Long_SlabTC_C1,3072,2048,48,1282,939,1.0
Box1_Long_SlabTC_C1,3072,2048,49,1282,875,1.0
Box1_Long_SlabTC_C1,3072,2048,50,1273,793,1.0
Box1_Long_SlabTC_C1,3072,2048,51,1282,708,1.0
Box1_Long_SlabTC_C1,3072,2048,52,1350,759,1.0
Box1_Long_SlabTC_C1,3072,2048,53,1336,824,1.0
Box1_Long_SlabTC_C1,3072,2048,54,1343,895,1.0
Box1_Long_SlabTC_C1,3072,2048,55,1360,967,1.0
Box1_Long_SlabTC_C1,3072,2048,56,1371,1044,1.0
Box1_Long_SlabTC_C1,3072,2048,57,1372,1121,1.0
Box1_Long_SlabTC_C1,3072,2048,58,1401,1200,1.0
Box1_Long_SlabTC_C1,3072,2048,59,1420,1267,1.0
Box1_Long_SlabTC_C1,3072,2048,60,1457,1324,1.0
