image,width,height,egg_id,x,y,confidence
Box1_Long_SlabTC_D3,3072,2048,1,1374,651,1.0
Box1_Long_SlabTC_D3,3072,2048,2,1478,829,1.0
Box1_Long_SlabTC_D3,3072,2048,3,1453,752,1.0
Box1_Long_SlabTC_D3,3072,2048,4,1459,681,1.0
Box1_Long_SlabTC_D3,3072,2048,5,1453,605,1.0
Box1_Long_SlabTC_D3,3072,2048,6,1480,555,1.0
Box1_Long_SlabTC_D3,3072,2048,7,1533,603,1.0
Box1_Long_SlabTC_D3,3072,2048,8,1523,660,1.0
Box1_Long_SlabTC_D3,3072,2048,9,1516,734,1.0
Box1_Long_SlabTC_D3,3072,2048,10,1525,809,1.0
Box1_Long_SlabTC_D3,3072,2048,11,1532,879,1.0
Box1_Long_SlabTC_D3,3072,2048,12,1594,923,1.0
Box1_Long_SlabTC_D3,3072,2048,13,1589,843,1.0
Box1_Long_SlabTC_D3,3072,2048,14,1589,768,1.0
Box1_Long_SlabTC_D3,3072,2048,15,1569,699,1.0
Box1_Long_SlabTC_D3,3072,2048,16,1598,640,1.0
Box1_Long_SlabTC_D3,3072,2048,17,1610,581,1.0
Box1_Long_SlabTC_D3,3072,2048,18,1688,613,1.0
Box1_Long_SlabTC_D3,3072,2048,19,1653,667,1.0
Box1_Long_SlabTC_D3,3072,2048,20,1649,749,1.0
Box1_Long_SlabTC_D3,3072,2048,21,1656,806,1.0
Box1_Long_SlabTC_D3,3072,2048,22,1635,953,1.0
Box1_Long_SlabTC_D3,3072,2048,23,1651,1028,1.0
Box1_Long_SlabTC_D3,3072,2048,24,1697,1071,1.0
Box1_Long_SlabTC_D3,3072,2048,25,1708,994,1.0
Box1_Long_SlabTC_D3,3072,2048,26,1694,911,1.0
Box1_Long_SlabTC_D3,3072,2048,27,1715,852,1.0
Box1_Long_SlabTC_D3,3072,2048,28,1647,866,1.0
Box1_Long_SlabTC_D3,3072,2048,29,1722,783,1.0
Box1_Long_SlabTC_D3,3072,2048,30,1738,717,1.0
Box1_Long_SlabTC_D3,3072,2048,31,1738,653,1.0
Box1_Long_SlabTC_D3,3072,2048,32,1799,688,1.0
Box1_Long_SlabTC_D3,3072,2048,33,1799,756,1.0
Box1_Long_SlabTC_D3,3072,2048,34,1781,809,1.0
Box1_Long_SlabTC_D3,3072,2048,35,1776,893,1.0
