image,width,height,egg_id,x,y,confidence
Box1_SlabTC_SlabTC_A6,3072,2048,1,1017,902,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,2,1046,820,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,3,1073,752,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,4,1058,1028,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,5,1076,969,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,6,1105,882,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,7,1126,799,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,8,1167,726,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,9,1181,669,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,10,1192,608,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,11,1106,1065,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,12,1131,1001,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,13,1135,950,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,14,1188,841,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,15,1186,781,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,16,1235,736,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,17,1254,674,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,18,1270,610,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,19,1364,610,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,20,1316,674,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,21,1302,729,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,22,1274,777,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,23,1252,838,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,24,1222,909,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,25,1186,969,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,26,1158,1053,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,27,1169,1119,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,28,1115,1165,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,29,1179,1204,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,30,1231,1117,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,31,1227,1057,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,32,1274,973,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,33,1290,909,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,34,1309,859,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,35,1343,786,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,36,1357,731,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,37,1393,658,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,38,1446,667,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,39,1427,720,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,40,1405,770,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,41,1400,838,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,42,1352,891,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,43,1340,960,1.0
Box1_SlabTC_SlabTC_A6,3072,2048,44,1323,1035,1.0
