image,width,height,egg_id,x,y,confidence
Box1_SlabTC_SlabTC_B5,3072,2048,1,1374,1414,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,2,1425,1429,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,3,1501,1454,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,4,1566,1471,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,5,1620,1412,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,6,1537,1387,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,7,1467,1387,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,8,1411,1296,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,9,1470,1336,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,10,1516,1319,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,11,1579,1351,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,12,1673,1367,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,13,1696,1280,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,14,1612,1283,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,15,1558,1282,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,16,1481,1261,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,17,1434,1236,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,18,1392,1199,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,19,1467,1180,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,20,1521,1200,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,21,1573,1225,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,22,1649,1239,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,23,1729,1237,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,24,1752,1180,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,25,1683,1192,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,26,1615,1172,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,27,1553,1150,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,28,1509,1129,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,29,1443,1116,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,30,1384,1092,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,31,1326,999,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,32,1374,1032,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,33,1442,1060,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,34,1493,1060,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,35,1552,1082,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,36,1617,1117,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,37,1718,1137,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,38,1752,1096,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,39,1663,1068,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,40,1605,1051,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,41,1556,1027,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,42,1489,996,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,43,1428,994,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,44,1381,961,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,45,1350,886,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,46,1401,900,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,47,1462,939,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,48,1532,952,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,49,1603,980,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,50,1647,988,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,51,1697,1024,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,52,1762,1039,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,53,1727,978,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,54,1705,953,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,55,1635,922,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,56,1579,913,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,57,1523,895,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,58,1466,855,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,59,1403,841,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,60,1352,815,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,61,1325,753,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,62,1388,776,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,63,1436,798,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,64,1506,815,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,65,1562,856,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,66,1620,832,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,67,1664,872,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,68,1744,904,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,69,1781,935,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,70,1774,859,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,71,1707,846,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,72,1659,800,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,73,1567,787,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,74,1493,760,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,75,1438,736,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,76,1383,713,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,77,1320,689,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,78,1375,656,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,79,1440,678,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,80,1500,703,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,81,1550,733,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,82,1612,744,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,83,1707,760,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,84,1752,790,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,85,1806,811,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,86,1819,753,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,87,1748,719,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,88,1656,703,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,89,1586,689,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,90,1529,661,1.0
Box1_SlabTC_SlabTC_B5,3072,2048,91,1487,625,1.0
